Property,Property Name,Date,Period,Person/Description,Control,Reference,Debit,Credit,Balance,Remarks,ledgerAccount,Source,Person/Description
wactbpr,WASHINGTON COURT FLATS L.L.C.,2022-06-30 00:00:00 UTC,2022-05-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1017388,RC CC#3846764.wactbpr,380.71,0,141544.54,5/31/22 Rent Cafe Inv#3846764,Website Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
wactsf,WASHINGTON COURT RESIDENTIAL L.L.C.,2022-06-30 00:00:00 UTC,2022-05-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-1017389,RC CC#3846764.wactsf,6.56,0,141551.1,5/31/22 Rent Cafe Inv#3846764,Website Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
edition,EDITION-BOTHELL L.L.C.,2021-06-30 00:00:00 UTC,2021-07-01 00:00:00 UTC,"GRIFFITH, JANE (gr775a)",P-945710,0621Reimb.JG.Edition,161.65,0,11559.92,Costco: Video Shoot Props & Food,Branding Expense,,"GRIFFITH, JANE (gr775a)"
edition,EDITION-BOTHELL L.L.C.,2021-07-16 00:00:00 UTC,2021-07-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-952909,2370MN.071621-Edition,148.45,0,11708.37,"Fred Meyer: Film Day, Photo Shoot Food & Drink",Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
edition,EDITION-BOTHELL L.L.C.,2021-07-31 00:00:00 UTC,2021-07-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-953144,2370MN.071621-Edition-953144,0,148.45,11559.92,"Fred Meyer: Film Day, Photo Shoot Food & Drink",Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
dwell,DWELL AT KENT STATION L.L.C.,2021-07-21 00:00:00 UTC,2021-08-01 00:00:00 UTC,"MCKENZIE, TRAVIS (mc312a)",P-956872,dwell-072121,27.99,0,11587.91,Cleaning and painting supplies related to photoshoot prep,Branding Expense,,"MCKENZIE, TRAVIS (mc312a)"
dwell,DWELL AT KENT STATION L.L.C.,2021-08-10 00:00:00 UTC,2021-08-01 00:00:00 UTC,CAMARGO PROFESSIONAL MEDIA SERVICES LLC (ca121a),P-953968,1897-Dwell,2621.25,0,14209.16,Filming for Website,Branding Expense,,CAMARGO PROFESSIONAL MEDIA SERVICES LLC (ca121a)
edition,EDITION-BOTHELL L.L.C.,2021-07-26 00:00:00 UTC,2021-08-01 00:00:00 UTC,CAMARGO PROFESSIONAL MEDIA SERVICES LLC (ca121a),P-953970,1890-Edition,3262.5,0,17471.66,Filming for Website,Branding Expense,,CAMARGO PROFESSIONAL MEDIA SERVICES LLC (ca121a)
dwell,DWELL AT KENT STATION L.L.C.,2021-09-30 00:00:00 UTC,2021-09-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-965693,0821MNVisa.Dwell,65.98,0,17537.64,Amazon: Faux lavendar flowers (Dwell videoshoot),Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
dwell,DWELL AT KENT STATION L.L.C.,2021-09-30 00:00:00 UTC,2021-09-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-965693,0821MNVisa.Dwell,142.87,0,17680.51,Amz: Faux Yellow flowers (Dwell videoshoot),Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
dwell,DWELL AT KENT STATION L.L.C.,2021-09-30 00:00:00 UTC,2021-09-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-965693,0821MNVisa.Dwell,300,0,17980.51,Lowes: Visa Gift Cards for videoshoots actors/talent (6 x $50) (Dwell),Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
dwell,DWELL AT KENT STATION L.L.C.,2021-09-30 00:00:00 UTC,2021-09-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-965693,0821MNVisa.Dwell,136.85,0,18117.36,Lowes: Pholox and Colues plants for planters (Dwell),Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971110,2370MN.091621-Main,21.86,0,18139.22,50% - Amz: Green Grass Paint for Lawn - The Main/Saffron,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971110,2370MN.091621-Main,7.96,0,18147.18,50% - Amz: Garden Sprayer 1 Gallon Lawn - The Main/Saffron,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971110,2370MN.091621-Main,267.11,0,18414.29,At Home: outdoor patio decor for video,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971110,2370MN.091621-Main,153.98,0,18568.27,At Home: outdoor patio decor for video,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971110,2370MN.091621-Main,14.74,0,18583.01,Jon's: Clear growler glassware for video,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971110,2370MN.091621-Main,18.35,0,18601.36,Arco: Ice bag for the video shoot,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971110,2370MN.091621-Main,108.47,0,18709.83,Fred Meyer: BBQ items for video shoot,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971110,2370MN.091621-Main,108.08,0,18817.91,Lowes: Beauty Bark and plants for video shoot,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
mainapt,MAIN APARTMENTS L.L.C.,2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971110,2370MN.091621-Main,55.16,0,18873.07,Lowes: Add'l Beauty bark for video shoot,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
saffron,SAFFRON (RESIDENTIAL),2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971111,2370MN.091621-Saffron,21.85,0,18894.92,50% - Amz: Green Grass Paint for Lawn - The Main/Saffron,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
saffron,SAFFRON (RESIDENTIAL),2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971111,2370MN.091621-Saffron,7.96,0,18902.88,50% - Amz: Garden Sprayer 1 Gallon Lawn - The Main/Saffron,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
saffron,SAFFRON (RESIDENTIAL),2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971111,2370MN.091621-Saffron,615.92,0,19518.8,Amz: outdoor patio cushions for video,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
saffron,SAFFRON (RESIDENTIAL),2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971111,2370MN.091621-Saffron,58.89,0,19577.69,Amz: outdoor patio cushions for video,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
saffron,SAFFRON (RESIDENTIAL),2021-09-16 00:00:00 UTC,2021-10-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-971111,2370MN.091621-Saffron,136.4,0,19714.09,FedEx: outdoor updated signage for video,Branding Expense,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
aspen,ASPEN GLADE APARTMENTS L.L.C.,2022-06-15 00:00:00 UTC,2022-06-01 00:00:00 UTC,RAIN CITY PROMOTIONS (ra554a),P-1018834,5722ASPENG,621.43,0,20335.52,"Printed bags, latex balloons",Branding Expense,,RAIN CITY PROMOTIONS (ra554a)
chinook,CHINOOK PARK APARTMENTS L.L.C.,2022-06-15 00:00:00 UTC,2022-06-01 00:00:00 UTC,RAIN CITY PROMOTIONS (ra554a),P-1018895,5722CHINOOK,499.49,0,20835.01,"Chinook-Marketing Decor, branding expense: full color digital printed plastic bags",Branding Expense,,RAIN CITY PROMOTIONS (ra554a)
glarun,GLACIER RUN PARTNERS L.L.C.,2022-06-06 00:00:00 UTC,2022-06-01 00:00:00 UTC,RAIN CITY PROMOTIONS (ra554a),P-1018284,5599GLACIER,272.31,0,21107.32,2 Glacier stretch table covers for events,Branding Expense,,RAIN CITY PROMOTIONS (ra554a)
glarun,GLACIER RUN PARTNERS L.L.C.,2022-06-15 00:00:00 UTC,2022-06-01 00:00:00 UTC,4IMPRINT (4i070a),P-1018285,23098104,260.27,0,21367.59,Glacier Tote Bags for events,Branding Expense,,4IMPRINT (4i070a)
glarun2,GLACIER RUN PARTNERS II L.L.C.,2022-06-06 00:00:00 UTC,2022-06-01 00:00:00 UTC,RAIN CITY PROMOTIONS (ra554a),P-1018306,5599GLACIER-Phase 2,163.38,0,21530.97,2 Glacier stretch table covers for events,Branding Expense,,RAIN CITY PROMOTIONS (ra554a)
glarun2,GLACIER RUN PARTNERS II L.L.C.,2022-06-15 00:00:00 UTC,2022-06-01 00:00:00 UTC,4IMPRINT (4i070a),P-1018307,23098104-Phase 2,156.16,0,21687.13,Glacier Tote Bags for events,Branding Expense,,4IMPRINT (4i070a)
pal,PALERMO AT LAKELAND L.L.C.,2022-06-13 00:00:00 UTC,2022-06-01 00:00:00 UTC,4IMPRINT (4i070a),P-1019001,23085147,182.22,0,21869.35,Event Tool Kit - Branded Balloons,Branding Expense,,4IMPRINT (4i070a)
pal,PALERMO AT LAKELAND L.L.C.,2022-06-15 00:00:00 UTC,2022-06-01 00:00:00 UTC,RAIN CITY PROMOTIONS (ra554a),P-1019002,5722PALERMO,511.33,0,22380.68,Event Tool Kit - Branded Bags,Branding Expense,,RAIN CITY PROMOTIONS (ra554a)
dwell,DWELL AT KENT STATION L.L.C.,2021-06-30 00:00:00 UTC,2021-07-01 00:00:00 UTC,"GRIFFITH, JANE (gr775a)",P-945709,0621Reimb.JG.Dwell,32.97,0,175.56,Fred Meyer: Ladies' Night Out Supplies,Public Relations,,"GRIFFITH, JANE (gr775a)"
dwell,DWELL AT KENT STATION L.L.C.,2021-06-30 00:00:00 UTC,2021-07-01 00:00:00 UTC,"GRIFFITH, JANE (gr775a)",P-945709,0621Reimb.JG.Dwell,14.71,0,190.27,Fred Meyer: Ladies' Night Out Supplies,Public Relations,,"GRIFFITH, JANE (gr775a)"
dwell,DWELL AT KENT STATION L.L.C.,2021-06-30 00:00:00 UTC,2021-07-01 00:00:00 UTC,"GRIFFITH, JANE (gr775a)",P-945709,0621Reimb.JG.Dwell,19.79,0,210.06,Michael's: Ladies' Night Out Supplies,Public Relations,,"GRIFFITH, JANE (gr775a)"
aspen,ASPEN GLADE APARTMENTS L.L.C.,2021-07-22 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-950495,184555992001,80.25,0,25839.88,Glade plugins and refills for resident move in gifts,Tenant Relations,,OFFICE DEPOT (of231a)
aster,ASTER TOWNHOMES L.L.C.,2021-06-30 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-945610,179042572001,24.74,0,25864.62,"Bottled Water, Coffee Creamer",Tenant Relations,,OFFICE DEPOT (of231a)
aster,ASTER TOWNHOMES L.L.C.,2021-07-13 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-948060,179042572002,7.96,0,25872.58,Tea for Guest in Office,Tenant Relations,,OFFICE DEPOT (of231a)
beryl,BERYL APARTMENTS L.L.C.,2021-06-24 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-945616,179604340001,163.05,0,26035.63,Move in snacks,Tenant Relations,,OFFICE DEPOT (of231a)
beryl,BERYL APARTMENTS L.L.C.,2021-07-09 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-950507,182850803001,26.37,0,26062,3-24/cs of water for gym/office,Tenant Relations,,OFFICE DEPOT (of231a)
beryl,BERYL APARTMENTS L.L.C.,2021-07-12 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-949508,182850708001,33.49,0,26095.49,sugar for coffee/tea station,Tenant Relations,,OFFICE DEPOT (of231a)
beryl,BERYL APARTMENTS L.L.C.,2021-07-15 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-950509,184364669001,145.52,0,26241.01,Keurig for residents/prospects,Tenant Relations,,OFFICE DEPOT (of231a)
beryl,BERYL APARTMENTS L.L.C.,2021-07-21 00:00:00 UTC,2021-07-01 00:00:00 UTC,HD SUPPLY (hd335a),P-950518,9193590453,53.33,0,26294.34,1 box of doggy treats,Tenant Relations,,HD SUPPLY (hd335a)
beryl,BERYL APARTMENTS L.L.C.,2021-07-26 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-950517,183735400001,58.09,0,26352.43,paper cups (8oz) for coffee 500/CS,Tenant Relations,,OFFICE DEPOT (of231a)
beryl,BERYL APARTMENTS L.L.C.,2021-07-27 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-950901,183735952001,20.09,0,26372.52,sugar for coffee area,Tenant Relations,,OFFICE DEPOT (of231a)
beryl,BERYL APARTMENTS L.L.C.,2021-07-27 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-950902,183735949001,30.86,0,26403.38,organizer for coffee stand area,Tenant Relations,,OFFICE DEPOT (of231a)
beryl,BERYL APARTMENTS L.L.C.,2021-07-31 00:00:00 UTC,2021-07-01 00:00:00 UTC,Reclass from Commercial,J-573366,TransferExpense,12.18,0,26415.56,Reclass stir sticks & sweet-n-low (400bx) for coffee station to residential,Tenant Relations,,Reclass from Commercial
black,BLACK LAKE APARTMENTS L.L.C.,2021-06-30 00:00:00 UTC,2021-07-01 00:00:00 UTC,CULLIGAN TUMWATER (cu123a),P-946747,644218-06/21,105.96,0,26521.52,7/01- 7/31 Water Service,Tenant Relations,,CULLIGAN TUMWATER (cu123a)
black,BLACK LAKE APARTMENTS L.L.C.,2021-06-30 00:00:00 UTC,2021-07-01 00:00:00 UTC,CULLIGAN TUMWATER (cu123a),P-948068,644218-07/21,105.96,0,26627.48,7/1- 7/31 Water Service,Tenant Relations,,CULLIGAN TUMWATER (cu123a)
black,BLACK LAKE APARTMENTS L.L.C.,2021-07-05 00:00:00 UTC,2021-07-01 00:00:00 UTC,"MCCUE, KATIE (mc226a)",P-946754,28187-PC-06/21,26.12,0,26653.6,Helium for Balloons,Tenant Relations,,"MCCUE, KATIE (mc226a)"
black,BLACK LAKE APARTMENTS L.L.C.,2021-07-05 00:00:00 UTC,2021-07-01 00:00:00 UTC,"MCCUE, KATIE (mc226a)",P-946754,28187-PC-06/21,9.96,0,26663.56,Coffee for Office,Tenant Relations,,"MCCUE, KATIE (mc226a)"
black,BLACK LAKE APARTMENTS L.L.C.,2021-07-09 00:00:00 UTC,2021-07-01 00:00:00 UTC,Lindros (t0169015),C-4532970,,221.8,0,26885.36,"Insurance Waived For March, April, May In Full Due to Active Policy-Waived $47.95 for Prorated Insurance in 2/2021",Tenant Relations,,Lindros (t0169015)
black,BLACK LAKE APARTMENTS L.L.C.,2021-07-21 00:00:00 UTC,2021-07-01 00:00:00 UTC,"MCCUE, KATIE (mc226a)",P-949523,black.07212021,234.93,0,27120.29,Items for Resident Event: Nacho To-Go Kit,Tenant Relations,,"MCCUE, KATIE (mc226a)"
black,BLACK LAKE APARTMENTS L.L.C.,2021-07-21 00:00:00 UTC,2021-07-01 00:00:00 UTC,"MCCUE, KATIE (mc226a)",P-949523,black.07212021,19.49,0,27139.78,Coffee Supplies for Office,Tenant Relations,,"MCCUE, KATIE (mc226a)"
black,BLACK LAKE APARTMENTS L.L.C.,2021-07-21 00:00:00 UTC,2021-07-01 00:00:00 UTC,"MCCUE, KATIE (mc226a)",P-949523,black.07212021,58,0,27197.78,Gift Card for BB-04 Due to 1 Month No Working Dryer,Tenant Relations,,"MCCUE, KATIE (mc226a)"
black,BLACK LAKE APARTMENTS L.L.C.,2021-07-31 00:00:00 UTC,2021-07-01 00:00:00 UTC,07/21 Adj :Reversed by J-573595,J-573572,07/21 Adj,0,221.8,26975.98,07/21 Adj t-0169015 for insurance waived 3 months,Tenant Relations,,07/21 Adj :Reversed by J-573595
boxcar,BOXCAR APARTMENTS L.L.C.,2021-07-01 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-945633,180307743001,18.77,0,26994.75,Water bottles (2),Tenant Relations,,OFFICE DEPOT (of231a)
boxcar,BOXCAR APARTMENTS L.L.C.,2021-07-01 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-945634,180309907001,118.75,0,27113.5,"Trail mix, popsicle, veggie straws, juice",Tenant Relations,,OFFICE DEPOT (of231a)
chinook,CHINOOK PARK APARTMENTS L.L.C.,2021-07-16 00:00:00 UTC,2021-07-01 00:00:00 UTC,Quintero Gil (t0027216),C-4534855,,0,0.07,27113.43,RESIDENT RELATIONS,Tenant Relations,,Quintero Gil (t0027216)
chinook,CHINOOK PARK APARTMENTS L.L.C.,2021-07-16 00:00:00 UTC,2021-07-01 00:00:00 UTC,Quintero Gil (t0027216),C-4534896,,0.14,0,27113.57,RESIDENT RELATIONS,Tenant Relations,,Quintero Gil (t0027216)
chinook,CHINOOK PARK APARTMENTS L.L.C.,2021-07-25 00:00:00 UTC,2021-07-01 00:00:00 UTC,CRYSTAL SPRINGS (cr130a),P-950887,5260889 072521,39.57,0,27153.14,water,Tenant Relations,,CRYSTAL SPRINGS (cr130a)
cobble,COBBLE COURT APARTMENTS L.L.C.,2021-07-02 00:00:00 UTC,2021-07-01 00:00:00 UTC,MOUNTAIN MIST (mo385a),P-946781,004199006,36.93,0,27190.07,Gym Water cooler,Tenant Relations,,MOUNTAIN MIST (mo385a)
cobble,COBBLE COURT APARTMENTS L.L.C.,2021-07-07 00:00:00 UTC,2021-07-01 00:00:00 UTC,MOUNTAIN MIST (mo385a),P-945893,081001-06/21-945893,0,32.98,27157.09,Gym water cooler,Tenant Relations,,MOUNTAIN MIST (mo385a)
cobble,COBBLE COURT APARTMENTS L.L.C.,2021-07-08 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-947526,181292954001,52.35,0,27209.44,"coffee, creamer",Tenant Relations,,OFFICE DEPOT (of231a)
cobble,COBBLE COURT APARTMENTS L.L.C.,2021-07-09 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-948536,181312936001,35.59,0,27245.03,coffeemate,Tenant Relations,,OFFICE DEPOT (of231a)
cobble,COBBLE COURT APARTMENTS L.L.C.,2021-07-21 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-949862,181311423001,7.96,0,27252.99,creamer,Tenant Relations,,OFFICE DEPOT (of231a)
dwell,DWELL AT KENT STATION L.L.C.,2021-07-14 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-948545,183608045001,14.1,0,27267.09,Coffee Creamer,Tenant Relations,,OFFICE DEPOT (of231a)
dwell,DWELL AT KENT STATION L.L.C.,2021-07-15 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-948546,183605984001,112.37,0,27379.46,breakfast bars for entry area,Tenant Relations,,OFFICE DEPOT (of231a)
dwell,DWELL AT KENT STATION L.L.C.,2021-07-19 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-949968,183967029001,46.19,0,27425.65,bottled water,Tenant Relations,,OFFICE DEPOT (of231a)
dwell,DWELL AT KENT STATION L.L.C.,2021-07-21 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-949974,184461367001,25.98,0,27451.63,coffee cups,Tenant Relations,,OFFICE DEPOT (of231a)
edition,EDITION-BOTHELL L.L.C.,2021-06-08 00:00:00 UTC,2021-07-01 00:00:00 UTC,FITNESS ON DEMAND (fi992a),P-946376,105515-21,2399.4,0,29851.03,Fitness on Demand App: 07.01.2021- 06.30.22,Tenant Relations,,FITNESS ON DEMAND (fi992a)
edition,EDITION-BOTHELL L.L.C.,2021-07-09 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-947554,180891841001,83.29,0,29934.32,Coffee station supplies,Tenant Relations,,OFFICE DEPOT (of231a)
edition,EDITION-BOTHELL L.L.C.,2021-07-09 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-947555,181058068001,29.98,0,29964.3,Mints for Welcome Baskets,Tenant Relations,,OFFICE DEPOT (of231a)
edition,EDITION-BOTHELL L.L.C.,2021-07-09 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-947556,181058071001,23,0,29987.3,Napkins for coffee station,Tenant Relations,,OFFICE DEPOT (of231a)
edition,EDITION-BOTHELL L.L.C.,2021-07-12 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-948120,181058075001,58.34,0,30045.64,Supplies for Welcome Basket,Tenant Relations,,OFFICE DEPOT (of231a)
edition,EDITION-BOTHELL L.L.C.,2021-07-16 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-948807,184352841001,40.33,0,30085.97,Supplies for coffee station,Tenant Relations,,OFFICE DEPOT (of231a)
edition,EDITION-BOTHELL L.L.C.,2021-07-19 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-948810,184352683001,24.39,0,30110.36,Coffee for beverage station,Tenant Relations,,OFFICE DEPOT (of231a)
edition,EDITION-BOTHELL L.L.C.,2021-07-21 00:00:00 UTC,2021-07-01 00:00:00 UTC,"CONLEY, SUSAN (co852a)",P-949604,EB 2021-07-21,38.7,0,30149.06,Welcome Baskets,Tenant Relations,,"CONLEY, SUSAN (co852a)"
edition,EDITION-BOTHELL L.L.C.,2021-07-22 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-949606,184561741001,100.46,0,30249.52,Coffee Station Supplies,Tenant Relations,,OFFICE DEPOT (of231a)
edition,EDITION-BOTHELL L.L.C.,2021-07-31 00:00:00 UTC,2021-07-01 00:00:00 UTC,07/21 Rcls,J-573423,07/21 Rcls,0,2399.4,27850.12,"07/21 Rcls FM 54455, Fitness on Demand App:07.01.21-06.30.22",Tenant Relations,,07/21 Rcls
fla,FOUR LAKES APARTMENTS L.L.C.,2021-07-01 00:00:00 UTC,2021-07-01 00:00:00 UTC,MOUNTAIN MIST (mo385a),P-945722,004195450,21.95,0,27872.07,Coffee,Tenant Relations,,MOUNTAIN MIST (mo385a)
fla,FOUR LAKES APARTMENTS L.L.C.,2021-07-02 00:00:00 UTC,2021-07-01 00:00:00 UTC,Hamilton Jr. (t0011566),C-4531310,,0,345,27527.07,Correcting lease charges,Tenant Relations,,Hamilton Jr. (t0011566)
fla,FOUR LAKES APARTMENTS L.L.C.,2021-07-02 00:00:00 UTC,2021-07-01 00:00:00 UTC,Rennells (t0026530),C-4531312,,345,0,27872.07,Credit for tow bill due to Sealcoating,Tenant Relations,,Rennells (t0026530)
fla,FOUR LAKES APARTMENTS L.L.C.,2021-07-28 00:00:00 UTC,2021-07-01 00:00:00 UTC,Hardy (t0024130),C-4549597,,0,0.16,27871.91,,Tenant Relations,,Hardy (t0024130)
glarun,GLACIER RUN PARTNERS L.L.C.,2021-07-06 00:00:00 UTC,2021-07-01 00:00:00 UTC,MOUNTAIN MIST (mo385a),P-949617,004199448,19.95,0,27891.86,Coffee,Tenant Relations,,MOUNTAIN MIST (mo385a)
glarun,GLACIER RUN PARTNERS L.L.C.,2021-07-08 00:00:00 UTC,2021-07-01 00:00:00 UTC,OFFICE DEPOT (of231a),P-947568,182131929001,35.59,0,27927.45,Coffee bar supplies,Tenant Relations,,OFFICE DEPOT (of231a)
glarun,GLACIER RUN PARTNERS L.L.C.,2021-07-20 00:00:00 UTC,2021-07-01 00:00:00 UTC,"WILSON, NISHA (wi009a)",P-949630,pettycash/Wilson 07/20/2021,21.64,0,27949.09,Wow fridge supplies (May),Tenant Relations,,"WILSON, NISHA (wi009a)"
glarun,GLACIER RUN PARTNERS L.L.C.,2021-07-20 00:00:00 UTC,2021-07-01 00:00:00 UTC,"WILSON, NISHA (wi009a)",P-949630,pettycash/Wilson 07/20/2021,23.22,0,27972.31,Residents birthday balloons and helium gel( May),Tenant Relations,,"WILSON, NISHA (wi009a)"
glarun,GLACIER RUN PARTNERS L.L.C.,2021-07-20 00:00:00 UTC,2021-07-01 00:00:00 UTC,"WILSON, NISHA (wi009a)",P-949630,pettycash/Wilson 07/20/2021,23.9,0,27996.21,Helium for residents balloons (May),Tenant Relations,,"WILSON, NISHA (wi009a)"
glarun,GLACIER RUN PARTNERS L.L.C.,2021-07-20 00:00:00 UTC,2021-07-01 00:00:00 UTC,"WILSON, NISHA (wi009a)",P-949630,pettycash/Wilson 07/20/2021,35.56,0,28031.77,Helium for residents balloons (June),Tenant Relations,,"WILSON, NISHA (wi009a)"
glarun,GLACIER RUN PARTNERS L.L.C.,2021-07-20 00:00:00 UTC,2021-07-01 00:00:00 UTC,"WILSON, NISHA (wi009a)",P-949630,pettycash/Wilson 07/20/2021,12.45,0,28044.22,Candy for residents and wow fridge,Tenant Relations,,"WILSON, NISHA (wi009a)"
glarun,GLACIER RUN PARTNERS L.L.C.,2021-07-20 00:00:00 UTC,2021-07-01 00:00:00 UTC,"WILSON, NISHA (wi009a)",P-949630,pettycash/Wilson 07/20/2021,19.07,0,28063.29,Water for the lodge and wow fridges,Tenant Relations,,"WILSON, NISHA (wi009a)"
glarun,GLACIER RUN PARTNERS L.L.C.,2021-07-20 00:00:00 UTC,2021-07-01 00:00:00 UTC,"WILSON, NISHA (wi009a)",P-949630,pettycash/Wilson 07/20/2021,25.55,0,28088.84,Welcome bags for move ins,Tenant Relations,,"WILSON, NISHA (wi009a)"
